source,target,experiment,mean +/- std,p_value,sig
Image_first,Image_first,exp1,0.593192943282254+/-0.107918487966889,5.788201632464675e-5,<0.01
Image_first,Simultaneous,exp1,0.61343143825846+/-0.0916183331175884,3.193218733947042e-8,<0.01
Image_first,Word_first,exp1,0.597364454855723+/-0.0964017286608453,2.9998092141113186e-6,<0.01
Simultaneous,Image_first,exp1,0.614406410833507+/-0.095146817159748,6.427459153771881e-8,<0.01
Simultaneous,Simultaneous,exp1,0.585364976474436+/-0.114321043347869,5.985642892541742e-4,<0.01
Simultaneous,Word_first,exp1,0.604084572991957+/-0.0910758500253748,2.0894740451370085e-7,<0.01
Word_first,Image_first,exp1,0.609150600514542+/-0.0959568934307874,2.323539953081636e-7,<0.01
Word_first,Simultaneous,exp1,0.613872189277168+/-0.0953669830584908,7.580562617339841e-8,<0.01
Word_first,Word_first,exp1,0.568634699714039+/-0.111335997851302,0.007401727222888968,<0.01
Image_first,Image_first,exp2,0.576390914351852+/-0.0871034002606649,4.41128748131084e-5,<0.01
Image_first,Simultaneous,exp2,0.620618036580579+/-0.0719861947115558,9.651273705089512e-12,<0.01
Image_first,Word_first,exp2,0.610912882138967+/-0.0737761889698535,2.0931442335248213e-10,<0.01
Simultaneous,Image_first,exp2,0.604684748000681+/-0.0626554241816806,1.0488255653491127e-11,<0.01
Simultaneous,Simultaneous,exp2,0.598033925075026+/-0.0952265531580668,2.0244773106335505e-6,<0.01
Simultaneous,Word_first,exp2,0.61377459218375+/-0.0739822486210877,1.1163928393326573e-10,<0.01
Word_first,Image_first,exp2,0.60392852364897+/-0.0663304539611198,6.61648207436924e-11,<0.01
Word_first,Simultaneous,exp2,0.621865628366065+/-0.075569264731062,2.918838810823483e-11,<0.01
Word_first,Word_first,exp2,0.587117055404589+/-0.0911048535285309,8.89151101702943e-6,<0.01
Image_first,Image_first,exp1 → exp2,0.601174511441707+/-0.0608764083764647,1.2238530343571798e-11,<0.01
Image_first,Image_first,exp2 → exp1,0.617201470699066+/-0.0817890763402032,7.69185251831245e-10,<0.01
Image_first,Simultaneous,exp1 → exp2,0.594965186945716+/-0.082154312727059,1.6106679520320306e-7,<0.01
Image_first,Simultaneous,exp2 → exp1,0.611192723218513+/-0.0795279865098962,1.4773892609800072e-9,<0.01
Image_first,Word_first,exp1 → exp2,0.602213625192593+/-0.0742541042981504,2.222342005199768e-9,<0.01
Image_first,Word_first,exp2 → exp1,0.595860401927989+/-0.0867695737203179,4.4634750406990957e-7,<0.01
Simultaneous,Image_first,exp1 → exp2,0.593743445569203+/-0.0670700859959805,1.4903728757352457e-9,<0.01
Simultaneous,Image_first,exp2 → exp1,0.60766796639719+/-0.0900491822710599,7.343037857717905e-8,<0.01
Simultaneous,Simultaneous,exp1 → exp2,0.611468696993817+/-0.075141651643788,3.017588770307447e-10,<0.01
Simultaneous,Simultaneous,exp2 → exp1,0.612039969837828+/-0.0817395036323841,2.4825435770529385e-9,<0.01
Simultaneous,Word_first,exp1 → exp2,0.604323014537746+/-0.0708948135241088,3.7601198076205147e-10,<0.01
Simultaneous,Word_first,exp2 → exp1,0.593577498263916+/-0.0899537394795595,1.6284639592118054e-6,<0.01
Word_first,Image_first,exp1 → exp2,0.58660670283734+/-0.0716125595310108,5.6052915071909234e-8,<0.01
Word_first,Image_first,exp2 → exp1,0.610931791760132+/-0.0874143996285651,1.7474108475884315e-8,<0.01
Word_first,Simultaneous,exp1 → exp2,0.597120982336965+/-0.0839899321582804,1.5978071037466051e-7,<0.01
Word_first,Simultaneous,exp2 → exp1,0.614923871857996+/-0.0773694051195982,2.911512275034896e-10,<0.01
Word_first,Word_first,exp1 → exp2,0.597013619323863+/-0.0766443944055063,1.862029267471191e-8,<0.01
Word_first,Word_first,exp2 → exp1,0.599230081583979+/-0.0824749974026269,6.335313270477458e-8,<0.01
