source,target,experiment,mean_roc_auc_score,sd,p_value,sig
Circle,Circle,exp1,0.6116902991646538,0.11570456694880019,7.4000228101271835e-6,<0.01
Circle,Square,exp1,0.5885731243375596,0.10337160472687681,6.626175805137372e-5,<0.01
Circle,Triangle,exp1,0.60936148423901,0.10945463883365589,3.733645881452503e-6,<0.01
Square,Circle,exp1,0.5892198291570353,0.11991765841468052,6.313949000443715e-4,<0.01
Square,Square,exp1,0.5818305943363614,0.11377448335424215,0.0010279329326032566,<0.01
Square,Triangle,exp1,0.5469431728313401,0.12863221794835691,0.5277079381761781,0.527707938176178
Triangle,Circle,exp1,0.6199953557289101,0.10909914482292064,4.92260653227787e-7,<0.01
Triangle,Square,exp1,0.5554756869780709,0.11765571657825645,0.0982989011054333,0.0982989011054333
Triangle,Triangle,exp1,0.5932696632086659,0.13219554885183366,0.001343514900333892,<0.01
Bad,Bad,exp2,0.5581935918410436,0.08687244671364154,0.002682035161397701,<0.01
Bad,Good,exp2,0.5924453032180008,0.12822333029480998,9.935387307520073e-4,<0.01
Bad,Neutral,exp2,0.5823654154252362,0.09096117968288953,2.4809431827361967e-5,<0.01
Good,Bad,exp2,0.5434335909697271,0.08931866605176303,0.07659283921217024,0.0765928392121702
Good,Good,exp2,0.6621243080716587,0.12189889746954456,5.392812451657607e-9,<0.01
Good,Neutral,exp2,0.5955972032809876,0.09261892740928693,1.9182089561345927e-6,<0.01
Neutral,Bad,exp2,0.5621904556618551,0.07608300269327657,1.4642874070753246e-4,<0.01
Neutral,Good,exp2,0.6235365730403675,0.11910889003244624,1.7337787748903978e-6,<0.01
Neutral,Neutral,exp2,0.5715434782608696,0.10670918727345,0.0026523211594134785,<0.01
